ST,STATE,STATE_NAME,CD,Mexico,World,Mex_share,Total Jobs 2018
TX,48,Texas,9,3423631532,7724758422,0.443202408,17142.70423
TX,48,Texas,10,5828082802,10262209114,0.567916979,31882.18262
TX,48,Texas,11,2609635311,15284216532,0.170740535,11618.55872
TX,48,Texas,12,2551995090,7119783331,0.358437184,14868.41923
TX,48,Texas,13,4359992944,12232284492,0.356433252,23140.88178
TX,48,Texas,14,11175769103,33703710511,0.331588687,27288.92333
TX,48,Texas,15,1304280366,2696100744,0.483765441,8170.839725
TX,48,Texas,16,2290485885,4221095962,0.542628243,11763.2251
TX,48,Texas,17,2243031503,6002303443,0.37369512,13231.40958
TX,48,Texas,18,5437246496,18922621355,0.287341082,21312.13728
TX,48,Texas,19,1519394162,5504928410,0.276006162,7953.004238
TX,48,Texas,20,1147275403,2859035412,0.401280585,6408.673147
TX,48,Texas,21,1790870784,4648876288,0.385226595,10041.77679
TX,48,Texas,22,1797783414,5577412451,0.322332879,8114.487309
TX,48,Texas,23,1003572193,3072461088,0.326634631,4858.822234
TX,48,Texas,24,4058769276,9428465687,0.430480357,21703.97427
TX,48,Texas,25,1837695613,3749345158,0.490137754,10315.57359
TX,48,Texas,26,1611168321,4023119580,0.400477363,9057.694213
TX,48,Texas,27,3987624330,12436033199,0.320650827,12025.18439
TX,48,Texas,28,476982426.7,1263289662,0.377571701,2826.863759
TX,48,Texas,29,3648703558,11245074563,0.324471264,15867.25611
TX,48,Texas,30,1345571260,3303315701,0.407339589,7300.139428
TX,48,Texas,31,2585354572,5293775039,0.488376358,13318.90472
TX,48,Texas,32,3763569066,8482214628,0.44370123,19276.44074
TX,48,Texas,33,2911501033,6447742398,0.45155356,16532.91888
TX,48,Texas,34,855365799.3,2115762389,0.404282543,5175.09075
TX,48,Texas,35,2081716667,4287321194,0.485551834,11788.6893
TX,48,Texas,36,4043351635,15648694090,0.258382687,15948.25186
UT,49,Utah,1,321822736.7,5836811882,0.055136733,1929.903009
UT,49,Utah,2,158610388.2,4207488703,0.037697163,787.8908369
UT,49,Utah,3,106936430.7,1588391626,0.067323718,534.7988831
UT,49,Utah,4,137236276.4,2727066680,0.05032377,707.7265426
VA,51,Virginia,1,30081678.7,607465942.8,0.049519943,165.4264537
VA,51,Virginia,2,75579013.53,918301403.1,0.082303058,463.2521464
VA,51,Virginia,3,124184994.3,1365935663,0.090915698,711.3712261
VA,51,Virginia,4,113609397.7,1876984550,0.060527615,575.2372501
VA,51,Virginia,5,89018440.04,1895713132,0.046957759,525.8399724
VA,51,Virginia,6,230092088.3,3250060556,0.070796247,1413.137205
VA,51,Virginia,7,103703285.9,1410812455,0.073506075,579.2085162
VA,51,Virginia,8,6046591.017,133485075.6,0.045297881,32.87192394
VA,51,Virginia,9,248013919.3,4178124035,0.059360114,1337.38552
VA,51,Virginia,10,69414797.14,1611311998,0.043079675,378.7082608
VA,51,Virginia,11,24074878.11,330548198.1,0.072833185,125.5296562
VT,50,Vermont,0,45419912,2878639898,0.015778254,269.8878888
WA,53,Washington,1,274570533.9,5134245045,0.053478268,989.5455416
WA,53,Washington,2,778855326.8,28937686277,0.026914914,2467.07282
WA,53,Washington,3,142769662.2,3851274162,0.037070761,941.9750367
WA,53,Washington,4,241327132.2,5033004740,0.047948918,1889.469115
WA,53,Washington,5,159803860.9,3385009646,0.047209278,932.1327827
WA,53,Washington,6,118198693.1,1501313197,0.078730203,528.5860415
WA,53,Washington,7,109436125.2,4715967170,0.023205447,624.2208058
WA,53,Washington,8,83010359.24,2281257244,0.036387987,596.1262387
WA,53,Washington,9,308076286.2,14262954298,0.021599753,1180.736811
WA,53,Washington,10,28669477.3,765819485.8,0.037436338,194.6828957
WI,55,Wisconsin,1,552090738.6,3338840094,0.165354052,2838.988348
WI,55,Wisconsin,2,295565147.8,2118235075,0.139533686,1204.791088
WI,55,Wisconsin,3,273994909.4,2173910105,0.126037829,1522.471615
WI,55,Wisconsin,4,292713155.8,1980532516,0.147795178,1572.955821
WI,55,Wisconsin,5,540883749.8,3706306297,0.145936063,3021.136316
WI,55,Wisconsin,6,720020621,4224920480,0.170422289,4184.90082
WI,55,Wisconsin,7,365589315.8,2482743846,0.147252129,2183.809633
WI,55,Wisconsin,8,460155104.7,3011699121,0.152789202,2723.902925
WV,54,West Virginia,1,124876789.9,3574883084,0.034931713,521.2721505
WV,54,West Virginia,2,40230941.91,1475509453,0.027265797,187.2662227
WV,54,West Virginia,3,69482772.16,3122714886,0.022250758,290.21839
WY,56,Wyoming,0,36170251,1353408707,0.026725298,154.1559993
