state,district,NAICS4,Description,World,Mexico,Direct Jobs,Indirect Jobs,Total Jobs,Mex_Share
AL,6,3352,Household Appliances ,623364,43078,0,0,0,0.069105691
AL,6,3274,Lime & Gypsum Products ,617928,0,0,0,0,0
AL,6,3149,Misc. Textile Products ,600614,74736,0,0,1,0.124432664
AL,6,3314,Nonferrous Metal Products,515077,24308,0,0,0,0.047192944
AL,6,3112,Grain & Oilseed Milling Products ,490249,474027,0,3,3,0.966910692
AL,6,3326,Springs & Wire Products ,437295,197070,1,1,2,0.450656879
AL,6,3111,Animal Foods ,410717,599,0,0,0,0.001458425
AL,6,3344,Semiconductors & Components ,317748,35885,0,0,0,0.112935408
AL,6,3115,Dairy Products ,309008,67171,0,0,1,0.217376249
AL,6,2122,Metal Ores ,294769,0,0,0,0,0
AL,6,3141,Textile Furnishings ,233408,50678,0,0,0,0.21712195
AL,6,1113,Fruits & Tree Nuts ,215290,0,0,0,0,0
AL,6,3343,Audio & Video Equipment ,208952,8265,0,0,0,0.039554539
AL,6,3371,Household & Institutional Furniture ,194553,7732,0,0,0,0.039742384
AL,6,3273,Cement & Concrete Products ,176726,10993,0,0,0,0.062203637
AL,6,3113,Sugar & Confectionery Products ,162356,67606,0,0,0,0.416405923
AL,6,3322,Cutlery & Handtools ,161614,45372,0,0,0,0.280743005
AL,6,3364,Aerospace Products & Parts ,137272,4053,0,0,0,0.029525322
AL,6,3372,Office Furniture & Fixtures ,130266,4943,0,0,0,0.037945435
AL,6,3131,"Fibers, Yarns & Threads ",123365,0,0,0,0,0
AL,6,3351,Electric Lighting Equipment ,111166,13479,0,0,0,0.121251102
AL,6,3132,Fabrics ,103494,60476,0,0,0,0.584343054
AL,6,1141,Marine Products ,97281,3647,0,0,0,0.037489335
AL,6,3121,Beverages ,66041,6120,0,0,0,0.092669705
AL,6,3346,Magnetic & Optical Media ,65500,0,0,0,0,0
AL,6,3114,Preserves & Specialty Foods ,41520,5724,0,0,0,0.137861272
AL,6,3118,Bakery & Tortilla Products ,35370,0,0,0,0,0
AL,6,1112,Vegetables & Melons ,33812,0,0,0,0,0
AL,6,3152,Apparel ,17492,3040,0,0,0,0.173793734
AL,6,3133,Finished & Coated Textile Fabrics ,17044,5778,0,0,0,0.339004928
AL,6,3312,Products from Purchased Steel ,15672,6943,0,0,0,0.443019398
AL,6,3341,Computer Equipment ,6538,0,0,0,0,0
AL,6,3159,Apparel Accessories ,3703,0,0,0,0,0
AL,6,1132,Forestry Products ,3666,2377,0,0,0,0.648390616
